Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression,Chrome 120.0.0.0,,,2023-12-11 22:56:54,2023-12-11 22:57:30,35.506s,FAILED
,,,,,,,
Test Cases/Forms Landing Page,Chrome 120.0.0.0,,,2023-12-11 22:57:21,2023-12-11 22:57:30,9.425s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-11 22:57:21,2023-12-11 22:57:23,2.450s,PASSED
"navigateToUrl(""https://was-dtb-dpddmd-eprs-qa.azurewebsites.net/forms"")",Chrome 120.0.0.0,,,2023-12-11 22:57:23,2023-12-11 22:57:25,2.401s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forms Landing Page/Page_Forms for registrants and applicants -_29e31d/h1_Forms for registrants and applicants""), ""Forms for registrants and applicants"")",Chrome 120.0.0.0,,,2023-12-11 22:57:25,2023-12-11 22:57:27,1.360s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forms Landing Page/Page_Forms for registrants and applicants -_29e31d/h2_Instructions for requesting PDF forms""), ""Instructions for requesting PDF forms"")",Chrome 120.0.0.0,,,2023-12-11 22:57:27,2023-12-11 22:57:27,0.350s,PASSED
"click(findTestObject(""Object Repository/Forms Landing Page/Page_Forms for registrants and applicants -_29e31d/summary_Instructions for requesting PDF forms""))",Chrome 120.0.0.0,,,2023-12-11 22:57:27,2023-12-11 22:57:28,0.409s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forms Landing Page/Page_Forms for registrants and applicants -_29e31d/p_Forms in PDF format are available upon re_989b8d""), ""Forms in PDF format are available upon request. Click on the form’s link from the table below to open an email addressed to pmra.docs.arla@hc-sc.gc.ca to submit your request. Ensure the text ""Request for form [your form number]"" is in the subject line of the email before sending."")",Chrome 120.0.0.0,,,2023-12-11 22:57:28,2023-12-11 22:57:28,0.458s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Forms Landing Page/Page_Forms for registrants and applicants -_29e31d/a_pmra.docs.arlahc-sc.gc.ca""))",Chrome 120.0.0.0,,,2023-12-11 22:57:28,2023-12-11 22:57:28,0.348s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forms Landing Page/Page_Forms for registrants and applicants -_29e31d/p_Once received by the Pest Management Regu_d1194b""), ""Once received by the Pest Management Regulatory Agency (PMRA), an email with the requested PDF form will be sent back to your email address."")",Chrome 120.0.0.0,,,2023-12-11 22:57:28,2023-12-11 22:57:29,0.322s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forms Landing Page/Page_Forms for registrants and applicants -_29e31d/p_Please note, all responses are provided d_07a4da""), ""Please note, all responses are provided during hours of operation, Monday to Friday, only."")",Chrome 120.0.0.0,,,2023-12-11 22:57:29,2023-12-11 22:57:29,0.435s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forms Landing Page/Page_Forms for registrants and applicants -_29e31d/caption_Available forms""), ""Available forms"")",Chrome 120.0.0.0,,,2023-12-11 22:57:29,2023-12-11 22:57:29,0.332s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forms Landing Page/Page_Forms for registrants and applicants -_29e31d/th_Form number""), ""Form number"")",Chrome 120.0.0.0,,,2023-12-11 22:57:29,2023-12-11 22:57:30,0.532s,FAILED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,2023-12-11 22:57:30,2023-12-11 22:57:30,0.000s,PASSED
